episode,total_reward,loss,ndcg@5,slate_mrr,click_rate
0,1426.8881269693375,0.03200267047375544,0.0,0.0,1.0
1,2694.651449918747,0.024251517842058094,0.0,0.019999999552965164,1.0
2,1997.6537637710571,0.021465403359616175,0.019999999552965164,0.019999999552965164,1.0
3,1844.13072681427,0.012906262839678675,0.0,0.0,1.0
4,1933.754215478897,0.007887737829005346,0.0,0.0,1.0
5,2191.824323415756,0.005753135569975711,0.0,0.0,1.0
6,1229.717479467392,0.0076669422793202106,0.0,0.0,1.0
7,2356.812572956085,0.005355944221955724,0.0,0.0,0.9
8,1779.8855321407318,0.007215628189151176,0.0,0.0,1.0
9,2185.1000559329987,0.006889902142575011,0.0,0.10000000149011612,0.8
10,3005.0275197029114,0.008848239454673603,0.0,0.019999999552965164,1.0
11,1856.620103597641,0.011938658310100436,0.0,0.0,1.0
12,1483.7961848974228,0.008140909504145383,0.18000000715255737,0.18000000715255737,1.0
13,2377.2475247383118,0.006698093218146823,0.0,0.0,1.0
14,1841.1484534740448,0.006066783923888579,0.0,0.019999999552965164,0.9
15,2145.756394147873,0.005423045891802758,0.0,0.0,1.0
16,2657.2654597759247,0.0075383122148923575,0.0,0.0,1.0
17,2229.9899349212646,0.008602117918198928,0.0,0.0,1.0
18,2336.214443922043,0.009789482827764005,0.0,0.0,1.0
19,2539.8970952033997,0.008246243331814184,0.0,0.1599999964237213,1.0
20,1796.5712237358093,0.004909889373165142,0.0,0.0,1.0
21,2424.023340702057,0.006765723014250397,0.0,0.0,1.0
22,1902.4116477966309,0.006062025887658819,0.0,0.0,1.0
23,1662.3631556034088,0.005251532117836177,0.0,0.0,0.9
24,1987.745327949524,0.005127045895787888,0.0,0.0,1.0
25,1589.6521575450897,0.0052782225649571045,0.019999999552965164,0.004000000189989805,0.9
26,2340.6585116386414,0.0048861227004090325,0.0,0.0,0.9
27,2129.777219772339,0.006552813454763964,0.0,0.0,0.9
28,1802.529396533966,0.006049281799932942,0.0,0.0,0.9
29,1850.6746735572815,0.004799390463740565,0.0,0.0,0.9
30,2141.034994363785,0.005633394470205531,0.0,0.0,0.9
31,1978.9499521255493,0.006562107203062623,0.0,0.0,0.9
32,3101.1100783348083,0.007420177513267845,0.0,0.0,1.0
33,2043.6205322742462,0.010772136299638078,0.0,0.0,1.0
34,2258.089554309845,0.006399967834586278,0.0,0.0,1.0
35,2680.9207553863525,0.00964831497054547,0.0,0.0,0.9
36,1824.2998070716858,0.007815264280652627,0.0,0.019999999552965164,1.0
37,2146.8155422210693,0.006742937014205381,0.0,0.019999999552965164,1.0
38,2095.959972381592,0.013305483864387497,0.0,0.0,0.9
39,1813.221431016922,0.006291297878196929,0.0,0.019999999552965164,1.0
40,2345.6095781326294,0.008711720034221394,0.0,0.0,1.0
41,1940.1045191287994,0.00844602468656376,0.0,0.0,1.0
42,2149.7608041763306,0.007534915471915156,0.0,0.0,0.9
43,1631.0709128379822,0.00783352831407683,0.0,0.0,0.9
44,1940.6462247371674,0.004938676063320599,0.0,0.019999999552965164,1.0
45,2218.833918571472,0.0057581594923976805,0.0,0.0,1.0
46,2171.055603504181,0.006409430197090842,0.0,0.0,0.9
47,1859.4788327217102,0.005266072195954621,0.0,0.03999999910593033,0.9
48,2591.0192425251007,0.007046682330546901,0.0,0.0,1.0
49,2546.044351577759,0.008407053055707365,0.0,0.0,1.0
50,2688.6001024246216,0.008600745238363744,0.0,0.0,0.9
51,2552.327214717865,0.009077348951832391,0.0,0.0,1.0
52,2432.2636160850525,0.009141300303745083,0.0,0.0,1.0
53,1606.4125747680664,0.0061208083787641955,0.0,0.009999999776482582,1.0
54,2498.893602371216,0.006672815728234127,0.0,0.0,1.0
55,2411.920946121216,0.008197864154353737,0.0,0.002222222276031971,1.0
56,2242.314705848694,0.007660725140012801,0.0,0.0,1.0
57,2060.667100906372,0.0071538543631322685,0.0,0.0,0.9
58,2108.7989106178284,0.006694651494035498,0.0,0.0,1.0
59,2522.1402711868286,0.007130243318970315,0.0,0.0,1.0
60,2159.4954760074615,0.006249291971067173,0.0,0.0,1.0
61,1997.650039434433,0.005801559471292421,0.0,0.0,1.0
62,2351.1100907325745,0.00546688275760971,0.0,0.0,1.0
63,1788.6707413196564,0.006313956580124795,0.0,0.0,1.0
64,2135.4884810447693,0.004733371335314587,0.0,0.0,1.0
65,2186.7929537296295,0.006238605440594256,0.0,0.0,1.0
66,1968.2718291282654,0.0054670082204393115,0.0,0.019999999552965164,1.0
67,2537.1786680221558,0.0061580323934322225,0.0,0.0,1.0
68,2320.138221502304,0.008001509394962341,0.0,0.0,1.0
69,2388.471525669098,0.006259518454317004,0.0,0.0,1.0
70,1756.425041437149,0.005837525189854205,0.019999999552965164,0.035555556416511536,1.0
71,2137.971922159195,0.0045970062562264505,0.0,0.0,0.9
72,2605.3798656463623,0.006919493083842099,0.0,0.0,1.0
73,1916.2753908634186,0.008048197000753134,0.0,0.0,1.0
74,2302.0005769729614,0.006267246386269108,0.0,0.0,1.0
75,1894.5025403499603,0.005398794860229828,0.0,0.0,1.0
76,1969.094386100769,0.005817629936500452,0.0,0.0,1.0
77,2173.7238490581512,0.005957551572937519,0.0,0.0,1.0
78,2431.4306235313416,0.007948848783271387,0.0,0.0,1.0
79,2072.9872512817383,0.0065929241944104435,0.03999999910593033,0.04285714030265808,1.0
80,2313.5150170326233,0.0045352061570156366,0.0,0.0,1.0
81,2137.0597994327545,0.007703755457187072,0.0,0.0,0.9
82,1747.5035083293915,0.00491787635255605,0.0,0.10000000149011612,1.0
83,2645.1810641288757,0.005117738348199055,0.0,0.0,1.0
84,1822.3251433372498,0.00822226289077662,0.0,0.0,1.0
85,2758.9876317977905,0.006194828221341595,0.0,0.0,1.0
86,2192.264613866806,0.006917061733547598,0.0,0.0,1.0
87,2223.622453212738,0.004568663421669044,0.0,0.0,1.0
88,1405.9077875614166,0.005402646631700918,0.0,0.0,1.0
89,1477.3442797064781,0.003183372282073833,0.0,0.0,0.9
90,2167.8688220977783,0.003878382217953913,0.0,0.0,1.0
91,1813.8202137947083,0.005376650429097935,0.0,0.0,0.9
92,1965.9657649993896,0.004823630669852719,0.0,0.0,0.9
93,1701.5289294719696,0.004693843559361994,0.0,0.0,1.0
94,2240.185709476471,0.004560348902014084,0.0,0.0,0.8
95,1979.3874049186707,0.00498838490457274,0.0,0.0,1.0
96,1716.0581866502762,0.004029989695700351,0.0,0.0,1.0
97,2099.9209609031677,0.005019364609615877,0.0,0.0,1.0
98,2479.031320333481,0.006358296400867403,0.0,0.0,1.0
99,2855.653106689453,0.00784512511221692,0.0,0.0,1.0
100,2367.1777617931366,0.005708907132631996,0.0,0.0,0.9
101,1976.3817465305328,0.005716257779859006,0.0,0.0,1.0
102,2279.5664472579956,0.005224355608224869,0.0,0.0,1.0
103,2268.126144051552,0.005491388051304966,0.0,0.0,1.0
104,2005.6708724498749,0.006245606180746108,0.0,0.0,1.0
105,1955.2329187393188,0.004615579571400304,0.0,0.0,1.0
106,1873.6620745658875,0.004551824599620886,0.0,0.0,1.0
107,1993.778101682663,0.00424380422278773,0.0,0.11999999731779099,1.0
108,1906.5561599731445,0.0048339397914242,0.0,0.0,1.0
109,2247.4507784843445,0.00558717675623484,0.0,0.0,1.0
110,1836.3981280326843,0.005664305595273617,0.0,0.0,1.0
111,2170.8975918293,0.005025382154854014,0.0,0.0,1.0
112,2456.891619205475,0.005848258803598583,0.0,0.0,0.9
113,2010.7353901863098,0.006747348712524399,0.0,0.0,0.8
114,1704.4210727214813,0.00540436043869704,0.0,0.0,0.9
115,2083.5148882865906,0.004962380810757168,0.0,0.0,1.0
116,2423.86039352417,0.005205240258947015,0.0,0.0,1.0
117,2277.7587275505066,0.006274190820986405,0.0,0.0,1.0
118,1693.403727889061,0.005514406440779567,0.0,0.0,1.0
119,2326.2210354804993,0.005242931655375287,0.0,0.0,1.0
120,2558.97709608078,0.007512064243201166,0.0,0.0,1.0
121,1998.9951379299164,0.008289615495014004,0.0,0.0,1.0
122,2690.4967482089996,0.008419849429046736,0.0,0.0,0.8
123,1899.3909845352173,0.0075617577088996765,0.0,0.0,1.0
124,2051.9860877990723,0.004879499588278122,0.0,0.0,1.0
125,1971.7854917049408,0.005039844361599535,0.0,0.019999999552965164,1.0
126,2397.8456902503967,0.0052820669405628,0.0,0.0,1.0
127,2267.662440061569,0.005642540752887726,0.0,0.0,1.0
128,2323.9573941230774,0.006748409317806363,0.0,0.0,1.0
129,2365.6289110183716,0.006777348091127351,0.0,0.0,1.0
130,2374.1877496242523,0.006105114413658157,0.0,0.0,1.0
131,2121.085314512253,0.0060349800391122695,0.0,0.0,1.0
132,2003.887423992157,0.005570311635965481,0.0,0.0,1.0
133,2170.4717411994934,0.005240487467963248,0.0,0.0,0.9
134,2311.597996234894,0.005241224903147668,0.0,0.0,1.0
135,2109.9989943504333,0.006731503051705659,0.0,0.019999999552965164,1.0
136,2404.8297169208527,0.005613213602919132,0.0,0.0,0.9
137,2209.1548385620117,0.005742123019881546,0.0,0.0,1.0
138,2248.5133080482483,0.006838110229291487,0.0,0.0,1.0
139,2052.3729090690613,0.005441924227634445,0.0,0.0,0.9
140,1772.2278633117676,0.004546699528064992,0.0,0.0,0.9
141,2102.820388317108,0.004736512785311789,0.0,0.0,1.0
142,2163.288067817688,0.005130398801993579,0.0,0.0,1.0
143,2752.3593373298645,0.006514411431271583,0.0,0.0,1.0
144,2132.9398691654205,0.007350177466869354,0.0,0.0,1.0
145,1762.9755473136902,0.005344365534838289,0.0,0.0,1.0
146,2069.04424905777,0.004639698510873131,0.0,0.0,1.0
147,2483.6341252326965,0.0066659843630623074,0.0,0.0,1.0
148,2513.1485352516174,0.006895671209786087,0.0,0.18000000715255737,0.9
149,2859.0149240493774,0.00749602296971716,0.019999999552965164,0.019999999552965164,1.0
150,2416.5588550567627,0.0077990895707625895,0.0,0.0,1.0
151,1767.6442422866821,0.005380096441949717,0.0,0.0,1.0
152,1961.722410917282,0.003841241495683789,0.0,0.019999999552965164,1.0
153,3400.410361289978,0.007256830601254478,0.0,0.05999999865889549,1.0
154,2512.4241335392,0.008880652287043631,0.0,0.0,1.0
155,2045.8339233398438,0.0068521190882893275,0.0,0.0,1.0
156,2391.7436060905457,0.005970923933200538,0.0,0.0,0.9
157,1646.7501146793365,0.006169563073199242,0.0,0.0,1.0
158,2465.154965400696,0.005419016849482432,0.0,0.0,1.0
159,2159.4107298851013,0.006940618206281215,0.0,0.0,1.0
160,1792.9523267745972,0.003386913582087598,0.0,0.0,1.0
161,1880.6878957748413,0.004988012436369899,0.0,0.0,1.0
162,2473.0418615341187,0.005798668533097953,0.0,0.0,1.0
163,1983.5456914901733,0.006765243646223098,0.0,0.05999999865889549,1.0
164,1934.2857766151428,0.005061312359757721,0.0,0.0,1.0
165,2436.6461069583893,0.004804964233189821,0.0,0.0,1.0
166,2661.62677526474,0.006877463806886226,0.0,0.0,1.0
167,1920.437180519104,0.00585741049842909,0.0,0.0,1.0
168,2551.4127626419067,0.005007430610130541,0.0,0.0,1.0
169,1754.2725915908813,0.0069575439568143336,0.0,0.0,1.0
170,2354.0148482322693,0.0055632539937505495,0.0,0.019999999552965164,1.0
171,2180.8546447753906,0.006008650375297293,0.0,0.0,1.0
172,1882.127905368805,0.005177109573269263,0.0,0.0,1.0
173,2663.32954454422,0.005184940309845842,0.0,0.0,0.9
174,2205.43283367157,0.00657345873885788,0.0,0.0,0.9
175,2287.9963326454163,0.005706239918945357,0.0,0.0,0.9
176,1757.6623992919922,0.004637556351372041,0.0,0.0,1.0
177,2038.6135964393616,0.005868595548672601,0.0,0.0,0.9
178,2083.1823225021362,0.0062223392515443265,0.0,0.0,1.0
179,2544.2023882865906,0.006178771781269461,0.0,0.0,0.9
180,1824.1332337856293,0.00401783593568123,0.019999999552965164,0.019999999552965164,1.0
181,2065.625373363495,0.00462601100851316,0.0,0.0,1.0
182,2354.982295036316,0.005162584441422951,0.0,0.0,0.9
183,2145.0996384620667,0.005976381831569597,0.0,0.0,1.0
184,1680.4686670303345,0.004459435361204669,0.0,0.0,1.0
185,2100.6751708984375,0.004386074580834247,0.0,0.0,1.0
186,2492.951123714447,0.006012996658682823,0.0,0.0,1.0
187,1690.3444447517395,0.005978321832953952,0.0,0.0,0.9
188,2547.252115249634,0.005169349084608257,0.0,0.004999999888241291,1.0
189,2006.344166278839,0.006137115057790652,0.0,0.0,1.0
190,3038.1629638671875,0.006289771759184077,0.0,0.0,1.0
191,2194.6091043949127,0.008765515414997935,0.019999999552965164,0.009999999776482582,1.0
192,2335.182117462158,0.00587935051182285,0.0,0.0,1.0
